ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl_pct,pnl_dollar,holding_days,exit_reason
CL=F,2022-06-13,120.93,2022-06-15,115.31,91298,-4.65,-513095.01,2,下穿68
ERIE,2022-06-23,172.05,2022-07-14,180.23,61188,4.75,500285.85,21,下穿68
CLX,2022-07-14,129.52,2022-07-26,128.55,85142,-0.75,-83041.25,12,下穿68
TRGP,2022-07-26,60.19,2022-08-04,59.14,181851,-1.73,-189466.51,9,下穿68
STLD,2022-08-04,73.52,2022-08-22,76.15,146287,3.58,384517.89,18,下穿68
NG=F,2022-08-22,9.68,2022-08-26,9.3,1150818,-3.97,-441915.01,4,下穿68
BG,2022-08-29,93.88,2022-08-30,90.33,113953,-3.78,-404007.52,1,下穿68
FSLR,2022-08-31,127.55,2022-09-20,133.31,80705,4.52,464860.36,20,下穿68
TKO,2022-10-04,69.91,2022-11-02,73.14,153886,4.61,496427.7,29,下穿68
MCK,2022-11-02,383.25,2022-11-09,379.74,29367,-0.92,-103083.83,7,下穿68
HG=F,2022-11-09,3.74,2022-11-17,3.69,2980678,-1.39,-154994.68,8,下穿68
WYNN,2022-11-17,75.68,2022-11-21,72.1,145313,-4.73,-520051.18,4,下穿68
IEX,2022-11-21,223.42,2022-11-29,221.29,46895,-0.95,-99705.54,8,下穿68
PHM,2022-11-29,42.81,2022-12-05,42.44,242416,-0.86,-89441.21,6,下穿68
NOC,2022-12-05,513.29,2022-12-08,512.46,20043,-0.16,-16719.22,3,下穿68
STLD,2022-12-08,104.91,2022-12-14,103.59,97905,-1.25,-128811.05,6,下穿68
CPB,2022-12-14,50.45,2022-12-29,50.19,201042,-0.51,-51601.83,15,下穿68
DECK,2022-12-30,66.53,2023-01-03,64.87,151681,-2.49,-251031.87,4,下穿68
VZ,2023-01-03,32.22,2023-01-18,32.61,305359,1.19,117323.91,15,下穿68
QCOM,2023-01-18,113.28,2023-01-19,109.14,87897,-3.65,-363887.49,1,下穿68
WDC,2023-01-19,28.26,2023-02-06,31.8,339459,12.52,1200755.41,18,下穿68
TDG,2023-02-06,615.74,2023-02-10,624.39,17530,1.4,151642.42,4,下穿68
CDW,2023-02-10,196.9,2023-02-22,195.32,55591,-0.8,-87825.4,12,下穿68
NOC,2023-02-22,453.85,2023-02-27,447.27,23923,-1.45,-157540.78,5,下穿68
SMCI,2023-02-27,10.11,2023-03-03,9.78,1058075,-3.26,-349164.67,4,下穿68
WYNN,2023-03-03,112.34,2023-03-09,106.33,92140,-5.35,-554056.85,6,下穿68
GE,2023-03-09,71.93,2023-03-13,69.89,136208,-2.83,-277131.82,4,下穿68
ANET,2023-03-14,38.29,2023-03-30,40.62,248644,6.1,580584.46,16,下穿68
TYL,2023-03-30,344.1,2023-04-25,364.01,29353,5.79,584418.34,26,下穿68
DXCM,2023-04-25,123.96,2023-05-01,118.44,86196,-4.45,-475801.63,6,下穿68
